Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR19667525_1	(1.0, 5.018482447208818)	(2.0, 1.9567045907300014)	(3.0, 1.1537695338439065)	(4.0, 0.9097348266855549)	(5.0, 0.6834078533799637)	(6.0, 0.5677542166541237)	(7.0, 0.5655407499225287)	(8.0, 0.5268050821196157)	(9.0, 0.39344371154101554)	('>10', 7.755434060826066)	('>50', 4.137522688033999)	('>100', 14.480499358094647)	('>500', 10.31143476913542)	('>1k', 24.305524812962062)	('>5k', 12.610673336579751)	('>10k+', 14.623267962282526)
SRR19667525_2	(1.0, 6.919850369648945)	(2.0, 1.8914073221479482)	(3.0, 1.1189074328212847)	(4.0, 0.7481517552791181)	(5.0, 0.6529726858205321)	(6.0, 0.4847492142193103)	(7.0, 0.42221877905175087)	(8.0, 0.35858161051839393)	(9.0, 0.27889680818097307)	('>10', 5.824737704192306)	('>50', 3.601863738988003)	('>100', 17.947894993138252)	('>500', 12.189561290893797)	('>1k', 34.971114259152685)	('>5k', 6.751626898047721)	('>10k+', 5.8374651378989775)
SRR19667526_1	(1.0, 5.5840157470379665)	(2.0, 2.355746785610639)	(3.0, 1.3892218591094343)	(4.0, 1.0649439137950614)	(5.0, 0.7886136802392338)	(6.0, 0.692718256722143)	(7.0, 0.4946185002460475)	(8.0, 0.4895713726925164)	(9.0, 0.3974612948405738)	('>10', 8.322713335772779)	('>50', 5.089397246791919)	('>100', 18.632102254804234)	('>500', 10.519475603447189)	('>1k', 38.09445699216433)	('>5k', 6.084943156725928)	('>10k+', 0.0)
SRR19667526_2	(1.0, 7.209821710219172)	(2.0, 2.152599901581013)	(3.0, 1.302158908811023)	(4.0, 0.7419277503690712)	(5.0, 0.5678018497722483)	(6.0, 0.4542414798177987)	(7.0, 0.34888269213783707)	(8.0, 0.37853456651483225)	(9.0, 0.3066129988770141)	('>10', 6.034471881190617)	('>50', 5.877380036086962)	('>100', 26.99393082911688)	('>500', 14.785560168069347)	('>1k', 28.16297174870352)	('>5k', 4.683103478732666)	('>10k+', 0.0)
SRR19667527_1	(1.0, 4.912340457740815)	(2.0, 1.8563197184297922)	(3.0, 1.1538134029689762)	(4.0, 0.8780146272695448)	(5.0, 0.6528341517413642)	(6.0, 0.5903891459226249)	(7.0, 0.5165905026822969)	(8.0, 0.4390073136347724)	(9.0, 0.42576140330958534)	('>10', 7.386960347421305)	('>50', 3.6038337449026896)	('>100', 13.77716594287228)	('>500', 9.796296821927658)	('>1k', 26.695239987511)	('>5k', 15.525626105796977)	('>10k+', 11.789806325868318)
SRR19667527_2	(1.0, 8.301874296311015)	(2.0, 1.8865960848873624)	(3.0, 1.1821974965229485)	(4.0, 0.8553073524263668)	(5.0, 0.5463938009139678)	(6.0, 0.5165905026822969)	(7.0, 0.4834757268693291)	(8.0, 0.386023672334024)	(9.0, 0.36189719281314753)	('>10', 6.1692827339558916)	('>50', 4.503136442337714)	('>100', 14.674576367403708)	('>500', 10.19462026813507)	('>1k', 30.67942058603692)	('>5k', 12.725535276697606)	('>10k+', 6.533072199672636)
SRR19667528_1	(1.0, 3.929703322613794)	(2.0, 1.4739089515359314)	(3.0, 0.9797237750958606)	(4.0, 0.6624608825495432)	(5.0, 0.5387483080975201)	(6.0, 0.4788873849755734)	(7.0, 0.4260102362178539)	(8.0, 0.3658167524118963)	(9.0, 0.3262420310146094)	('>10', 5.856559925772455)	('>50', 3.1626521049428495)	('>100', 10.554478428451231)	('>500', 7.988440190623784)	('>1k', 24.810190989600827)	('>5k', 12.386388956324804)	('>10k+', 26.059787759771464)
SRR19667528_2	(1.0, 6.109139765278669)	(2.0, 1.5164767190893158)	(3.0, 0.9009068929852975)	(4.0, 0.6105814158438561)	(5.0, 0.48553859865578974)	(6.0, 0.3940844105528156)	(7.0, 0.3503526806053935)	(8.0, 0.29930461560973337)	(9.0, 0.2678776309707114)	('>10', 4.300342204943847)	('>50', 2.3236014991835634)	('>100', 10.836656168834407)	('>500', 8.856922416918026)	('>1k', 28.56330458900488)	('>5k', 18.219170793190486)	('>10k+', 15.965739598333206)
SRR19667529_1	(1.0, 6.934573459174113)	(2.0, 2.6897323979067167)	(3.0, 1.5014054251696793)	(4.0, 1.1197696473868233)	(5.0, 0.8741058982152242)	(6.0, 0.8021207065974999)	(7.0, 0.55188646906922)	(8.0, 0.5210356726616239)	(9.0, 0.5861651317443268)	('>10', 9.674581229004318)	('>50', 6.272995269544551)	('>100', 22.67305011540483)	('>500', 15.290568797275988)	('>1k', 30.508009780845086)	('>5k', 0.0)	('>10k+', 0.0)
SRR19667529_2	(1.0, 9.328366735985739)	(2.0, 2.150414771818369)	(3.0, 1.3025891816540596)	(4.0, 0.818117415845883)	(5.0, 0.6398683699353276)	(6.0, 0.4730455449164743)	(7.0, 0.4399095043305377)	(8.0, 0.2650883246874929)	(9.0, 0.38049315569368586)	('>10', 8.237162640828172)	('>50', 7.908087479147147)	('>100', 30.846225919239473)	('>500', 9.554605909641445)	('>1k', 27.656025046276195)	('>5k', 0.0)	('>10k+', 0.0)
