Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR19667543_1	(1.0, 5.996158327297919)	(2.0, 2.1891236577762383)	(3.0, 1.318764366911232)	(4.0, 0.8766571149667789)	(5.0, 0.7022073873476714)	(6.0, 0.6574928362250843)	(7.0, 0.5907359007462922)	(8.0, 0.40809900179487985)	(9.0, 0.4591113770192399)	('>10', 7.050414081934692)	('>50', 5.0546336240828795)	('>100', 16.330887678307146)	('>500', 8.293604559624649)	('>1k', 33.90685518153478)	('>5k', 3.5368580155556253)	('>10k+', 12.628396888874892)
SRR19667543_2	(1.0, 7.656894542935416)	(2.0, 1.7999181282866772)	(3.0, 1.0712598797115596)	(4.0, 0.7053562993985578)	(5.0, 0.5353150486506912)	(6.0, 0.43832855748338945)	(7.0, 0.3482696728280379)	(8.0, 0.29221903832225965)	(9.0, 0.3457505431873288)	('>10', 6.081808735082029)	('>50', 4.574739427527789)	('>100', 16.91910444941273)	('>500', 9.992127719872784)	('>1k', 22.888811915483203)	('>5k', 6.648612904241584)	('>10k+', 19.701483137575966)
SRR19667544_1	(1.0, 3.994584060956589)	(2.0, 1.2887886727831548)	(3.0, 0.8332441500742582)	(4.0, 0.6337029379706426)	(5.0, 0.5256285034254542)	(6.0, 0.43429332459100295)	(7.0, 0.4028789813715712)	(8.0, 0.37332882637538856)	(9.0, 0.30460972627354155)	('>10', 5.927116896034064)	('>50', 3.0842772284263766)	('>100', 9.498834241995652)	('>500', 4.82501621973011)	('>1k', 14.42451092682645)	('>5k', 5.583128316258009)	('>10k+', 47.866056986907736)
SRR19667544_2	(1.0, 10.873960690974796)	(2.0, 0.9789577669873807)	(3.0, 0.5537759946974413)	(4.0, 0.3769445836961785)	(5.0, 0.3197838974682145)	(6.0, 0.25400093498099446)	(7.0, 0.21924151747916432)	(8.0, 0.21833094741014564)	(9.0, 0.1934558293269598)	('>10', 3.339598794124834)	('>50', 1.6748657624967405)	('>100', 5.9992600387161135)	('>500', 4.665631871243799)	('>1k', 18.751855496054944)	('>5k', 12.514969169767312)	('>10k+', 39.06536670457497)
SRR19667545_1	(1.0, 7.489507054262974)	(2.0, 2.3055209820735434)	(3.0, 1.4622673925825245)	(4.0, 1.0242234965625898)	(5.0, 0.8577617255009761)	(6.0, 0.7513687280946235)	(7.0, 0.6538842352557886)	(8.0, 0.5579269146285282)	(9.0, 0.5062575881369263)	('>10', 8.977227317038405)	('>50', 4.318079428226724)	('>100', 13.203421883868735)	('>500', 7.407548812241813)	('>1k', 16.218568886920533)	('>5k', 12.566082014238336)	('>10k+', 21.70035354036698)
SRR19667545_2	(1.0, 12.221450151826371)	(2.0, 1.5673877464792318)	(3.0, 0.9437924267530028)	(4.0, 0.6892637248239298)	(5.0, 0.5026941863099192)	(6.0, 0.456624491260757)	(7.0, 0.40979121010580755)	(8.0, 0.31357936077661797)	(9.0, 0.33674147265216364)	('>10', 5.9511355798036565)	('>50', 3.2989465057027156)	('>100', 15.520905714932946)	('>500', 11.67777684450587)	('>1k', 33.24399375895623)	('>5k', 9.75888496066259)	('>10k+', 3.1070318644481945)
SRR19667546_1	(1.0, 10.345255229087728)	(2.0, 2.8491144247432367)	(3.0, 1.59295847733926)	(4.0, 1.172281673960791)	(5.0, 0.9823407123112421)	(6.0, 0.7793453890362944)	(7.0, 0.7767345167112147)	(8.0, 0.5978897624432543)	(9.0, 0.4905176380743511)	('>10', 10.039130448972132)	('>50', 4.694022081452689)	('>100', 15.177653543769642)	('>500', 6.534034352552617)	('>1k', 20.061942945912516)	('>5k', 12.548178753373737)	('>10k+', 11.358600050259291)
SRR19667546_2	(1.0, 17.121121630750853)	(2.0, 2.387642741285398)	(3.0, 1.3628753536916103)	(4.0, 0.9503575263290156)	(5.0, 0.7522575886635924)	(6.0, 0.6716469056267562)	(7.0, 0.600826993808969)	(8.0, 0.4673461461892687)	(9.0, 0.4523336303200603)	('>10', 8.436054841373188)	('>50', 4.990682449389872)	('>100', 18.314290283312285)	('>500', 10.414443345702342)	('>1k', 22.483200668383315)	('>5k', 6.46321444073483)	('>10k+', 4.131705454438646)
SRR19667547_1	(1.0, 7.210745984784446)	(2.0, 2.3732037193575657)	(3.0, 1.4969885883347422)	(4.0, 1.1126373626373627)	(5.0, 0.8321005917159764)	(6.0, 0.7560228233305156)	(7.0, 0.6656804733727811)	(8.0, 0.5431107354184278)	(9.0, 0.5349218089602705)	('>10', 9.385302197802197)	('>50', 4.997094251901944)	('>100', 12.335428994082841)	('>500', 8.613165680473372)	('>1k', 20.02192519019442)	('>5k', 8.869135672020287)	('>10k+', 20.25253592561285)
SRR19667547_2	(1.0, 12.259879543533389)	(2.0, 1.577028740490279)	(3.0, 0.9533495350803043)	(4.0, 0.6265849535080305)	(5.0, 0.4807692307692308)	(6.0, 0.40257819103972947)	(7.0, 0.3624260355029586)	(8.0, 0.26204564666103125)	(9.0, 0.29242392223161456)	('>10', 5.601489856297548)	('>50', 3.0679416737109046)	('>100', 14.675612848689774)	('>500', 11.28909551986475)	('>1k', 28.536559594251905)	('>5k', 11.174186390532546)	('>10k+', 8.438028317836011)
SRR19667548_1	(1.0, 6.616698903932947)	(2.0, 2.2696075372808386)	(3.0, 1.4101204217882324)	(4.0, 1.009754372829184)	(5.0, 0.8306295626130904)	(6.0, 0.6676233855369065)	(7.0, 0.6715230548449491)	(8.0, 0.5469936149414529)	(9.0, 0.5241155550009359)	('>10', 8.690283063996173)	('>50', 4.3658097793307125)	('>100', 13.089110043468313)	('>500', 8.387408747738192)	('>1k', 18.79510617499636)	('>5k', 6.472931095443106)	('>10k+', 25.652284686258604)
SRR19667548_2	(1.0, 12.119652253488903)	(2.0, 1.5473887814313347)	(3.0, 0.9179821551132463)	(4.0, 0.6239470892868285)	(5.0, 0.47056009650381647)	(6.0, 0.4274037561614775)	(7.0, 0.35850959838605684)	(8.0, 0.2786963665481167)	(9.0, 0.3345916266300618)	('>10', 5.251814646118009)	('>50', 3.4829246479898504)	('>100', 14.212734760092344)	('>500', 10.397818265011127)	('>1k', 28.74056280027454)	('>5k', 9.564328944905471)	('>10k+', 11.271084212058817)
SRR19667549_1	(1.0, 5.87552133728117)	(2.0, 1.9498325768492333)	(3.0, 1.223386363353225)	(4.0, 0.8903395665408398)	(5.0, 0.6921172003582399)	(6.0, 0.5905143953456503)	(7.0, 0.5513405618053739)	(8.0, 0.5038613218607986)	(9.0, 0.40115112932763586)	('>10', 7.539647933822521)	('>50', 4.252644925881169)	('>100', 11.719066859905789)	('>500', 6.8604041133909455)	('>1k', 18.24988476248614)	('>5k', 10.837724816969606)	('>10k+', 27.862562134821662)
SRR19667549_2	(1.0, 12.07171828777505)	(2.0, 1.5029548822729426)	(3.0, 0.9407418803491515)	(4.0, 0.6601092402362969)	(5.0, 0.553763064703125)	(6.0, 0.46263073952383216)	(7.0, 0.4308073522899201)	(8.0, 0.35216012657086865)	(9.0, 0.31543004967534016)	('>10', 5.570214295000129)	('>50', 3.2424807195293073)	('>100', 11.862833499323381)	('>500', 6.790157536011156)	('>1k', 24.436436043915197)	('>5k', 15.923189289877548)	('>10k+', 14.884372992946762)
SRR19667550_1	(1.0, 8.808480606933866)	(2.0, 2.63083090736221)	(3.0, 1.5246860940394624)	(4.0, 1.1213377637937287)	(5.0, 0.9336313112006351)	(6.0, 0.8674684623753932)	(7.0, 0.696425245782731)	(8.0, 0.5645896433087305)	(9.0, 0.5337136471902844)	('>10', 9.977847698022956)	('>50', 4.594642279530685)	('>100', 17.951206124229323)	('>500', 7.460718871604866)	('>1k', 21.082424206780956)	('>5k', 10.508130678977858)	('>10k+', 10.743866458866313)
SRR19667550_2	(1.0, 12.812558198802208)	(2.0, 2.130933827349271)	(3.0, 1.1982827065016026)	(4.0, 0.8253202771978317)	(5.0, 0.6738808676645005)	(6.0, 0.6792719146058165)	(7.0, 0.5763519275443292)	(8.0, 0.44696680095274505)	(9.0, 0.4675507983650425)	('>10', 8.455121984689425)	('>50', 5.385655894374688)	('>100', 17.950716029052842)	('>500', 12.23473598572843)	('>1k', 25.90349045784691)	('>5k', 2.8994030640750434)	('>10k+', 7.359759265249312)
SRR19667551_1	(1.0, 7.303452999057582)	(2.0, 2.3484373993924033)	(3.0, 1.3925554768580577)	(4.0, 1.0161733114020968)	(5.0, 0.8721764020674679)	(6.0, 0.7480815045920965)	(7.0, 0.671985576894935)	(8.0, 0.5432078530997383)	(9.0, 0.4425270872234937)	('>10', 9.026147731463324)	('>50', 4.534146584170876)	('>100', 17.027927205464856)	('>500', 8.377576286167516)	('>1k', 32.60534895836382)	('>5k', 3.22412592119974)	('>10k+', 9.866129702581993)
SRR19667551_2	(1.0, 13.343128245052302)	(2.0, 2.2828778309148485)	(3.0, 1.4188963749070753)	(4.0, 0.9412480902848914)	(5.0, 0.8312016717689962)	(6.0, 0.7726663427711795)	(7.0, 0.6760830499247821)	(8.0, 0.5338422004600877)	(9.0, 0.4794043444921182)	('>10', 8.722349373964656)	('>50', 6.398496812751336)	('>100', 19.470021131253766)	('>500', 8.04451026416994)	('>1k', 26.644696406516154)	('>5k', 3.3523182917049588)	('>10k+', 6.088259569062908)
SRR19667552_1	(1.0, 6.440081447593954)	(2.0, 1.9818593995283347)	(3.0, 1.2801311623590954)	(4.0, 0.9712168818649287)	(5.0, 0.8341887574433918)	(6.0, 0.6461957867457744)	(7.0, 0.6125397561860986)	(8.0, 0.5173412697458729)	(9.0, 0.44137480076831914)	('>10', 8.422181247340573)	('>50', 3.565375637361079)	('>100', 14.080240784858633)	('>500', 5.935240989198818)	('>1k', 23.526286561868197)	('>5k', 2.9646154918708665)	('>10k+', 27.781130025266066)
SRR19667552_2	(1.0, 12.240938714772353)	(2.0, 1.9097393340433155)	(3.0, 1.0875705875140935)	(4.0, 0.7971671238277485)	(5.0, 0.6995646352046888)	(6.0, 0.5639789120928521)	(7.0, 0.4627704201955416)	(8.0, 0.4115651737011777)	(9.0, 0.3569943241508463)	('>10', 7.058871609455421)	('>50', 4.487550874696194)	('>100', 15.58346334978472)	('>500', 10.140802407848588)	('>1k', 21.9841191615802)	('>5k', 8.150529000680333)	('>10k+', 14.06437437045193)
SRR19667553_1	(1.0, 7.862454851947172)	(2.0, 2.553972755438257)	(3.0, 1.540907824205367)	(4.0, 1.1409274953690802)	(5.0, 0.8770060488828418)	(6.0, 0.7212760028195334)	(7.0, 0.6846657814642996)	(8.0, 0.572649432541569)	(9.0, 0.5360392111863351)	('>10', 9.738318880492217)	('>50', 5.088820768377512)	('>100', 14.705287718090368)	('>500', 12.008699025730975)	('>1k', 18.358659956614158)	('>5k', 15.79867656781907)	('>10k+', 7.811637679021251)
SRR19667553_2	(1.0, 13.26874634580813)	(2.0, 2.302618996879935)	(3.0, 1.2720685867908135)	(4.0, 0.887388051953729)	(5.0, 0.7185438967482474)	(6.0, 0.6786551481074701)	(7.0, 0.6081668114682884)	(8.0, 0.493964777688529)	(9.0, 0.4671901381899251)	('>10', 9.160751657022333)	('>50', 6.256522903245195)	('>100', 19.936178002174756)	('>500', 10.407684867957313)	('>1k', 23.31688605478419)	('>5k', 4.57190629969018)	('>10k+', 5.652727461490965)
SRR19667554_1	(1.0, 4.336205538932259)	(2.0, 1.8214133051362233)	(3.0, 1.1352336385520485)	(4.0, 0.7847195662444598)	(5.0, 0.6411842786114423)	(6.0, 0.5372449323944295)	(7.0, 0.3874102904452294)	(8.0, 0.48595019010551416)	(9.0, 0.41305766158968704)	('>10', 6.145020135436117)	('>50', 3.9402461247722105)	('>100', 15.179644086481137)	('>500', 9.644761411955274)	('>1k', 35.39922157978807)	('>5k', 19.148687259555896)	('>10k+', 0.0)
SRR19667554_2	(1.0, 6.284055884271862)	(2.0, 1.7404216067853047)	(3.0, 1.00699678282976)	(4.0, 0.7595221489797296)	(5.0, 0.46570226551778443)	(6.0, 0.4373551710949628)	(7.0, 0.42520641634232487)	(8.0, 0.31316790029022024)	(9.0, 0.2632230196404869)	('>10', 5.827352696348624)	('>50', 3.8858017053252043)	('>100', 17.791176404418547)	('>500', 10.132061463699971)	('>1k', 29.73925172669801)	('>5k', 14.182546289005376)	('>10k+', 6.7461585187518285)
SRR19667555_1	(1.0, 5.402378153694145)	(2.0, 2.1302873886305176)	(3.0, 1.3351561302192467)	(4.0, 0.9318410248547725)	(5.0, 0.8262210183812883)	(6.0, 0.6567179434762611)	(7.0, 0.5425801945452378)	(8.0, 0.4633651896901245)	(9.0, 0.4676240609188941)	('>10', 7.382753275071975)	('>50', 4.37300897770055)	('>100', 18.391935401441202)	('>500', 10.759612272363333)	('>1k', 34.52070663191428)	('>5k', 11.815812337098174)	('>10k+', 0.0)
SRR19667555_2	(1.0, 6.006711981056541)	(2.0, 1.8117238207185569)	(3.0, 1.000408851637962)	(4.0, 0.6694945571625697)	(5.0, 0.5153234186811128)	(6.0, 0.44718147902080035)	(7.0, 0.3666888127970563)	(8.0, 0.3134529224374372)	(9.0, 0.29130679204783566)	('>10', 6.0808163404371305)	('>50', 4.554862779169009)	('>100', 18.28588950784484)	('>500', 14.060237474659717)	('>1k', 31.300999982964516)	('>5k', 8.069283317149623)	('>10k+', 6.225617962215294)
